Session,Cell,NumSignificant,SignificantEvents
session_2024_04_23_1_MAT008,cell168,0,""
session_2024_04_23_1_MAT008,cell169,0,""
session_2024_04_23_1_MAT008,cell170,0,""
session_2024_04_23_1_MAT008,cell171,0,""
session_2024_04_23_1_MAT008,cell172,0,""
session_2024_04_23_1_MAT008,cell173,0,""
session_2024_04_23_1_MAT008,cell174,0,""
session_2024_04_23_1_MAT008,cell175,0,""
session_2024_04_23_1_MAT008,cell176,0,""
session_2024_04_23_1_MAT008,cell177,0,""
session_2024_04_23_1_MAT008,cell178,0,""
session_2024_04_23_1_MAT008,cell179,0,""
session_2024_04_23_1_MAT008,cell180,0,""
session_2024_04_23_1_MAT008,cell181,0,""
session_2024_04_23_1_MAT008,cell182,0,""
session_2024_04_23_1_MAT008,cell183,0,""
session_2024_04_23_1_MAT008,cell184,0,""
session_2024_04_23_1_MAT008,cell185,0,""
session_2024_04_23_1_MAT008,cell186,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell187,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell188,1,"rewardTime"
session_2024_04_23_1_MAT008,cell189,0,""
session_2024_04_23_1_MAT008,cell190,0,""
session_2024_04_23_1_MAT008,cell191,0,""
session_2024_04_23_1_MAT008,cell192,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell193,0,""
session_2024_04_23_1_MAT008,cell194,0,""
session_2024_04_23_1_MAT008,cell195,1,"rewardTime"
session_2024_04_23_1_MAT008,cell196,0,""
session_2024_04_23_1_MAT008,cell197,0,""
session_2024_04_23_1_MAT008,cell198,0,""
session_2024_04_23_1_MAT008,cell199,0,""
session_2024_04_23_1_MAT008,cell200,0,""
session_2024_04_23_1_MAT008,cell201,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell202,0,""
session_2024_04_23_1_MAT008,cell203,0,""
session_2024_04_23_1_MAT008,cell204,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell205,0,""
session_2024_04_23_1_MAT008,cell206,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell207,0,""
session_2024_04_23_1_MAT008,cell208,0,""
session_2024_04_23_1_MAT008,cell209,1,"rewardTime"
session_2024_04_23_1_MAT008,cell210,0,""
session_2024_04_23_1_MAT008,cell211,0,""
session_2024_04_23_1_MAT008,cell212,0,""
session_2024_04_23_1_MAT008,cell213,1,"rewardTime"
session_2024_04_23_1_MAT008,cell214,1,"rewardTime"
session_2024_04_23_1_MAT008,cell215,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell216,1,"rewardTime"
session_2024_04_23_1_MAT008,cell217,0,""
session_2024_04_23_1_MAT008,cell218,1,"rewardTime"
session_2024_04_23_1_MAT008,cell219,0,""
session_2024_04_23_1_MAT008,cell220,1,"rewardTime"
session_2024_04_23_1_MAT008,cell221,0,""
session_2024_04_23_1_MAT008,cell222,0,""
session_2024_04_23_1_MAT008,cell223,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell224,0,""
session_2024_04_23_1_MAT008,cell225,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell226,0,""
session_2024_04_23_1_MAT008,cell227,0,""
session_2024_04_23_1_MAT008,cell228,0,""
session_2024_04_23_1_MAT008,cell229,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell230,0,""
session_2024_04_23_1_MAT008,cell231,1,"rewardTime"
session_2024_04_23_1_MAT008,cell232,0,""
session_2024_04_23_1_MAT008,cell233,0,""
session_2024_04_23_1_MAT008,cell234,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell235,0,""
session_2024_04_23_1_MAT008,cell236,0,""
session_2024_04_23_1_MAT008,cell237,0,""
session_2024_04_23_1_MAT008,cell238,0,""
session_2024_04_23_1_MAT008,cell239,0,""
session_2024_04_23_1_MAT008,cell240,0,""
session_2024_04_23_1_MAT008,cell241,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell242,0,""
session_2024_04_23_1_MAT008,cell243,1,"rewardTime"
session_2024_04_23_1_MAT008,cell244,0,""
session_2024_04_23_1_MAT008,cell245,0,""
session_2024_04_23_1_MAT008,cell246,0,""
session_2024_04_23_1_MAT008,cell247,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell248,1,"rewardTime"
session_2024_04_23_1_MAT008,cell249,1,"rewardTime"
session_2024_04_23_1_MAT008,cell250,0,""
session_2024_04_23_1_MAT008,cell251,0,""
