,trialNumber,stimulusType,stimulusOnsetTime,rewardTime,rewardVolume,lickTimePostStim,lickTimePostReward,trialOffsets,rewardProb
45,46.0,Gabor0,584.2755234241952,586.4052002124101,3.0,585.1485,586.7435,34.11028529428738,50% Rewarded
46,47.0,Gabor0,601.5952183661464,603.7332002388086,3.0,602.676,603.8595,34.11028529428738,50% Rewarded
47,48.0,Gabor0,614.9228613636392,,0.0,616.47,617.1125000000001,34.11028529428738,50% Rewarded
48,49.0,Gabor45,632.3695675638259,,0.0,,,34.11028529428738,0% Rewarded
49,50.0,Gabor90,644.1236769998552,646.26870031773,3.0,645.419,646.246,34.11028529428738,100% Rewarded
50,51.0,Gabor45,655.6822868243794,,0.0,,,34.11028529428738,0% Rewarded
51,52.0,Gabor45,673.1605206020884,,0.0,,,34.11028529428738,0% Rewarded
52,53.0,Gabor0,685.2367042500587,687.3872002848527,3.0,685.4755,687.388,34.11028529428738,50% Rewarded
53,54.0,Gabor90,696.3473535748903,698.4872002913897,3.0,696.5515,698.8475,34.11028529428738,100% Rewarded
54,55.0,Gabor90,707.4410675223935,709.5712002783139,3.0,709.0725,709.659,34.11028529428738,100% Rewarded
55,56.0,Gabor90,718.5231179376553,720.6542003177301,3.0,720.2185000000001,720.6775,34.11028529428738,100% Rewarded
56,57.0,Gabor90,730.5211240477099,732.6712002651437,3.0,731.53,732.6975,34.11028529428738,100% Rewarded
57,58.0,Gabor0,742.5798534947162,744.7137002716838,3.0,743.859,744.7545,34.11028529428738,50% Rewarded
58,59.0,Gabor0,757.3522004920569,759.4877002783139,3.0,758.438,759.564,34.11028529428738,50% Rewarded
59,60.0,Gabor0,769.0761433688656,,0.0,769.891,771.2375000000001,34.11028529428738,50% Rewarded
60,61.0,Gabor0,784.4200141196827,,0.0,785.468,786.5265,34.11028529428738,50% Rewarded
61,62.0,Gabor45,797.3055898885748,,0.0,,,34.11028529428738,0% Rewarded
62,63.0,Gabor45,809.314553123035,,0.0,,,34.11028529428738,0% Rewarded
63,64.0,Gabor0,826.7706227937495,,0.0,,,34.11028529428738,50% Rewarded
64,65.0,Gabor45,838.8310835936157,,0.0,,,34.11028529428738,0% Rewarded
65,66.0,Gabor45,857.9329530202737,,0.0,,,34.11028529428738,0% Rewarded
66,67.0,Gabor0,873.9820146651349,876.1107002454321,3.0,875.5095,876.5145,34.11028529428738,50% Rewarded
67,68.0,Gabor0,889.2653869723247,,0.0,890.2805000000001,891.4965,34.11028529428738,50% Rewarded
68,69.0,Gabor45,903.6070193320562,,0.0,,,34.11028529428738,0% Rewarded
69,70.0,Gabor90,914.6708530371932,916.8102002716839,3.0,916.463,916.8955,34.11028529428738,100% Rewarded
70,71.0,Gabor90,925.9941840790393,928.1407002716837,3.0,927.2085000000001,928.1510000000001,34.11028529428738,100% Rewarded
71,72.0,Gabor0,939.4317815629626,941.5727002913898,3.0,940.7875,941.6095,34.11028529428738,50% Rewarded
72,73.0,Gabor45,950.5405669564468,,0.0,,,34.11028529428738,0% Rewarded
73,74.0,Gabor45,963.5122460572024,,0.0,,,34.11028529428738,0% Rewarded
74,75.0,Gabor0,975.9474419837368,,0.0,977.6035,978.3075,34.11028529428738,50% Rewarded
75,76.0,Gabor90,991.0385382205093,993.1757003045591,3.0,992.9200000000001,993.183,34.11028529428738,100% Rewarded
76,77.0,Gabor45,1003.6432443144827,,0.0,,,34.11028529428738,0% Rewarded
77,78.0,Gabor90,1018.3602102350244,1020.4952002453513,3.0,1020.0085,1020.5455000000001,34.11028529428738,100% Rewarded
78,79.0,Gabor45,1030.109596253939,,0.0,,,34.11028529428738,0% Rewarded
79,80.0,Gabor0,1045.5101050792528,1047.6327002585167,3.0,1046.549,1047.698,34.11028529428738,50% Rewarded
80,81.0,Gabor45,1059.4532595865119,,0.0,,,34.11028529428738,0% Rewarded
81,82.0,Gabor45,1073.7977434466143,,0.0,,,34.11028529428738,0% Rewarded
82,83.0,Gabor45,1087.1480599274314,,0.0,,,34.11028529428738,0% Rewarded
